Date,NO_UNIT,HM_Awal,HM_Akhir,Selisih,Literan,Penjatahan,Max_Capacity,Buffer_Stock,is_new,shift
2025-05-24,EX2017,45720.0,45729.0,9.0,837.0,93,1380.0,543.0,True,
2025-05-24,EX2027,35080.0,35087.0,7.0,651.0,93,1380.0,729.0,True,
2025-05-24,EX2032,26684.0,26693.0,9.0,837.0,93,1380.0,543.0,True,
2025-05-24,EX2033,25817.0,25826.0,9.0,837.0,93,1380.0,543.0,True,
2025-05-24,EX2040,18579.0,18588.0,9.0,837.0,93,1380.0,543.0,True,
2025-05-24,EX3009,35514.0,35523.0,9.0,1134.0,126,3400.0,2266.0,True,
2025-05-24,DZ3007,45280.0,45289.0,9.0,468.0,52,1000.0,532.0,False,
2025-05-24,DZ3026,20090.0,20109.0,19.0,988.0,52,1200.0,212.0,False,
2025-05-24,DZ3014,45914.0,45923.0,9.0,468.0,52,1000.0,532.0,False,
2025-05-24,DZ3007,45289.0,45298.0,9.0,468.0,52,1000.0,532.0,True,
2025-05-24,DZ3014,45923.0,45932.0,9.0,468.0,52,1000.0,532.0,True,
2025-05-24,DZ3026,20109.0,20118.0,9.0,468.0,52,1200.0,732.0,True,
